Date,Year,Month,Sea_Surface_Temperature_C,Atmospheric_Pressure_hPa,Humidity_pct,Wind_Shear_ms,Vorticity_s^-1,Ocean_Depth_m,Proximity_to_Coast_km,Pre_Existing_Disturbance,Cyclone_Formation
1/15/2025,2025,1,29.03,1001.49,77.7,12.31,5.15E-05,2133.7,74.57,0,0
2/15/2025,2025,2,31.67,1001.39,73.4,8.77,3.16E-05,2059.5,77.07,0,1
3/15/2025,2025,3,29.54,1007.82,80.8,6.33,7.66E-05,1122.8,106.88,0,1
4/15/2025,2025,4,30.8,999.27,81.2,5.16,6.81E-05,3188.8,324.82,0,1
5/15/2025,2025,5,29.01,1007.79,91.2,6.27,1.62E-05,2135.7,300.76,1,1
6/15/2025,2025,6,29.12,1004.93,84.1,9.43,8.15E-05,1160.1,78.74,0,0
7/15/2025,2025,7,30.11,1007.29,88.7,12.71,7.42E-05,3242.1,284.58,0,0
8/15/2025,2025,8,30.19,1010.96,88.9,15.13,5.56E-05,275.7,236.25,1,0
9/15/2025,2025,9,29.06,1012.56,85.5,0.3,5.94E-05,530.4,137.43,0,1
10/15/2025,2025,10,26.36,1009.28,86.3,8.83,8.80E-05,2039.3,50.27,0,1
11/15/2025,2025,11,29,1002.25,80.5,4.67,4.85E-05,3422.8,71.9,1,1
12/15/2025,2025,12,30.02,1010.53,81.5,11.76,6.09E-05,2894.2,346.3,0,1
1/15/2025,2025,1,29.23,1015.09,85.3,3.42,7.92E-05,1406.7,271.12,1,1
2/15/2025,2025,2,29.75,1008.77,84.9,12.52,7.06E-05,1705,209.66,1,1
3/15/2025,2025,3,29.52,996.66,105.9,14.31,7.99E-05,2666.8,301.49,0,1
4/15/2025,2025,4,27.48,1000.13,86.4,3.55,9.04E-05,1361.4,51.41,0,1
5/15/2025,2025,5,30.26,1008.86,78.6,14.86,4.63E-05,393.5,102.67,0,1
6/15/2025,2025,6,28.5,1005.35,75.4,7.46,7.60E-05,3137.3,306.65,0,0
7/15/2025,2025,7,28.6,1019.6,73,5.2,6.64E-05,2079.4,249.48,0,1
8/15/2025,2025,8,29.91,1004.36,93.1,6.88,7.74E-05,2958.7,126.73,0,1
9/15/2025,2025,9,28.32,1005.75,76.6,7.67,8.00E-05,894.9,328.89,1,1
10/15/2025,2025,10,29.51,1010.06,88.9,9.41,3.23E-05,3370.2,100.26,0,0
11/15/2025,2025,11,28.17,993.87,88.9,11.53,3.40E-05,2545.7,345.73,0,1
12/15/2025,2025,12,28.97,1011.88,77.3,8.49,8.87E-05,265.4,179.33,1,0
1/15/2025,2025,1,28.75,1005.63,86,7.17,6.34E-05,680.2,174.17,0,0
2/15/2025,2025,2,28.65,999.24,90.1,5.05,6.32E-05,2143.6,286.29,0,1
3/15/2025,2025,3,28.22,1004.73,70.4,12.03,5.88E-05,2524.7,66.24,0,0
4/15/2025,2025,4,29.15,1013.43,87.4,5.93,7.69E-05,1599.9,83.37,0,1
5/15/2025,2025,5,29.35,1008.58,91.6,6.09,6.72E-05,1067.1,273.79,1,0
6/15/2025,2025,6,30.31,991.95,82.2,7.06,5.27E-05,1029.2,235.02,1,1
7/15/2025,2025,7,28.51,1009.5,79.3,0.37,0.00011445,301,191.65,0,1
8/15/2025,2025,8,29.26,1005.3,79.8,17.31,5.17E-05,2785.9,53.66,0,1
9/15/2025,2025,9,31.85,1008.18,65.4,6.82,8.45E-05,2526.5,99.26,1,1
10/15/2025,2025,10,29.67,999.98,77.3,7.5,6.68E-05,3422.1,120.18,0,1
11/15/2025,2025,11,29.78,1012.5,86,4.49,6.53E-05,2430.6,315.6,1,1
12/15/2025,2025,12,29.72,1012.42,73.7,6.23,8.98E-05,1898.1,233.91,0,1
1/15/2025,2025,1,27.15,1007.79,82.6,9,5.05E-05,1235.8,214.32,1,0
2/15/2025,2025,2,28.91,1007.08,89.5,1.48,7.77E-05,1158.3,249.35,0,1
3/15/2025,2025,3,26.63,1013.24,81.8,6.01,9.29E-05,2111.3,268.58,0,1
4/15/2025,2025,4,30.23,1009.7,89.3,3.88,5.80E-05,870.7,293.83,0,1
5/15/2025,2025,5,31.24,1005.59,74.7,12.45,3.50E-05,1757.1,98.9,0,1
6/15/2025,2025,6,28.57,1006.02,80.7,14.04,5.16E-05,2370.5,38.67,1,0
7/15/2025,2025,7,31.32,1009.61,92.9,9.45,6.62E-05,422.1,316.52,0,1
8/15/2025,2025,8,27.85,1017.15,76.9,6.67,5.43E-05,1817,129.59,0,0
9/15/2025,2025,9,27.77,1004.46,82.1,6.6,7.48E-05,2509.6,255.15,1,0
10/15/2025,2025,10,29.86,1004.64,109.4,18.64,2.85E-05,3342.6,114.89,0,1
11/15/2025,2025,11,28.22,1011.45,87.6,13.37,2.61E-05,766.7,47.19,1,0
12/15/2025,2025,12,28.6,1004.14,84,13.58,3.95E-05,3390.6,243,0,0
1/15/2025,2025,1,30.5,1001.94,72.5,4.94,6.82E-05,2175,131.29,1,1
2/15/2025,2025,2,28.03,1001.24,79.6,7.99,6.37E-05,1877.6,25.97,0,1
3/15/2025,2025,3,28.86,1015.01,80.2,7.81,5.62E-05,3515.4,120.35,0,1
4/15/2025,2025,4,29.06,1002.33,74.7,1.3,3.76E-05,355.8,210.02,0,1
5/15/2025,2025,5,29.65,1005.76,77.2,8.98,4.50E-05,2247.7,272.29,0,1
6/15/2025,2025,6,30.08,998.84,86.2,15.98,6.63E-05,954.7,38.39,0,1
7/15/2025,2025,7,29.08,1006.59,77.1,11.1,7.07E-05,829,278.58,0,0
8/15/2025,2025,8,27.76,1004.81,84.9,7.2,6.09E-05,2288.8,56.21,0,1
